,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp F,Wind Speed mph
0,Busselton,76,AU,1609622772,69,-33.65,115.33,57.99,1.01
1,Mar del Plata,0,AR,1609622481,51,-38.0,-57.56,84.2,14.99
2,Hobart,75,AU,1609622703,82,-42.88,147.33,62.01,3.36
3,Ponta do Sol,75,PT,1609622773,54,32.67,-17.1,59.0,9.17
4,Albany,52,US,1609622600,73,42.6,-73.97,37.99,15.99
5,Yellowknife,75,CA,1609622774,74,62.46,-114.35,-23.8,11.41
6,Kapaa,20,US,1609622774,65,22.08,-159.32,78.8,17.22
7,Cape Town,0,ZA,1609622607,56,-33.93,18.42,69.8,20.8
8,Barrow,90,US,1609622774,83,71.29,-156.79,-7.6,9.17
9,Rikitea,3,PF,1609622775,69,-23.12,-134.97,78.28,9.6
10,Upernavik,100,GL,1609622775,94,72.79,-56.15,8.69,12.73
11,East London,15,ZA,1609622529,78,-33.02,27.91,69.49,17.87
12,Jamestown,90,US,1609622775,100,42.1,-79.24,34.0,2.39
13,George Town,40,MY,1609622776,83,5.41,100.34,78.8,5.73
14,Asău,15,RO,1609622776,70,46.43,26.4,30.99,3.06
15,Giohar,100,SO,1609622776,75,2.78,45.5,73.56,14.88
16,Nikolskoye,90,RU,1609622777,86,59.7,30.79,33.8,11.18
17,Avarua,24,CK,1609622777,79,-21.21,-159.78,84.2,17.22
18,Erzin,4,TR,1609622777,59,36.96,36.2,57.99,11.99
19,Cavalcante,57,BR,1609622778,67,-13.8,-47.46,79.2,1.1
20,Margate,100,GB,1609622778,82,51.38,1.39,39.0,3.0
21,Ushuaia,40,AR,1609622778,58,-54.8,-68.3,57.2,20.8
22,Upington,100,ZA,1609622778,73,-28.45,21.26,73.4,12.75
23,Hithadhoo,38,MV,1609622779,77,-0.6,73.08,82.2,11.14
24,Jiwani,0,PK,1609622779,29,25.05,61.74,62.92,11.81
25,Togur,0,RU,1609622780,84,58.36,82.83,-26.01,5.19
26,Qaanaaq,0,GL,1609622780,77,77.48,-69.36,-1.62,4.74
27,Kaka,0,TM,1609622780,87,37.35,59.61,32.07,5.21
28,Beloha,23,MG,1609622780,73,-25.17,45.05,75.27,19.24
29,Letlhakane,98,BW,1609622781,69,-21.42,25.58,69.13,22.55
30,Puerto Ayora,0,EC,1609622781,65,-0.74,-90.35,80.6,12.75
31,Port Alfred,6,ZA,1609622781,85,-33.59,26.89,68.0,1.01
32,Saint George,1,US,1609622745,39,37.1,-113.58,48.99,2.89
33,Madimba,20,TZ,1609622782,94,-10.4,40.33,77.0,9.17
34,Saldanha,0,ZA,1609622782,46,-33.01,17.94,73.4,6.93
35,Baie-Comeau,90,CA,1609622782,92,49.22,-68.15,24.8,10.29
36,Dodoma,95,TZ,1609622782,87,-6.17,35.74,68.38,3.53
37,Arraial do Cabo,75,BR,1609622783,83,-22.97,-42.03,77.0,4.7
38,Barreiras,97,BR,1609622716,44,-12.15,-44.99,85.42,3.53
39,Hermanus,1,ZA,1609622783,78,-34.42,19.23,66.99,7.0
40,Norman Wells,75,CA,1609622784,64,65.28,-126.83,1.4,16.11
41,Rawson,0,AR,1609622784,19,-43.3,-65.1,86.97,11.54
42,Vaini,75,TO,1609622784,88,-21.2,-175.2,80.6,9.17
43,Saskylakh,66,RU,1609622784,82,71.92,114.08,-34.24,6.38
44,Cap Malheureux,7,MU,1609622785,73,-19.98,57.61,75.0,5.99
45,Tasiilaq,100,GL,1609622785,92,65.61,-37.64,30.2,27.51
46,Cumberland,1,US,1609622570,82,35.05,-78.87,63.0,3.36
47,Adrasmon,90,TJ,1609622785,92,40.65,69.99,24.8,6.71
48,Khatanga,72,RU,1609622786,86,71.97,102.5,-18.94,11.32
49,Coyhaique,90,CL,1609622786,63,-45.58,-72.07,64.4,8.05
50,Bozüyük,0,TR,1609622786,71,39.91,30.04,37.4,2.24
51,Haimen,89,CN,1609622786,87,23.19,116.61,44.6,2.24
52,Pedro Carbo,75,EC,1609622786,55,-1.83,-80.23,87.8,8.05
53,Ushtobe,33,KZ,1609622787,91,45.25,77.98,-4.7,9.22
54,Murakami,100,JP,1609622787,96,38.23,139.48,31.44,8.63
55,Paita,0,PE,1609622787,57,-5.09,-81.11,80.6,19.46
56,Palmer,75,US,1609622787,81,42.16,-72.33,42.8,10.29
57,Punta Arenas,40,CL,1609622788,50,-53.15,-70.92,57.2,19.46
58,Thompson,90,CA,1609622785,92,55.74,-97.86,10.4,8.05
59,Lebu,0,CL,1609622788,77,-37.62,-73.65,61.52,16.71
60,Longyearbyen,75,SJ,1609622548,80,78.22,15.64,30.2,1.12
61,Vardø,98,NO,1609622788,95,70.37,31.11,29.44,8.86
62,São José da Coroa Grande,0,BR,1609622789,77,-8.9,-35.15,79.14,9.84
63,Mataura,100,NZ,1609622778,97,-46.19,168.86,53.01,5.99
64,Yuci,0,CN,1609622789,66,37.68,112.73,14.0,1.81
65,Nanortalik,100,GL,1609622789,97,60.14,-45.24,29.93,9.93
66,Pangody,0,RU,1609622790,81,65.85,74.49,-30.3,9.78
67,Severobaykal'sk,97,RU,1609622790,82,55.65,109.32,-11.92,5.91
68,Uyuni,84,BO,1609622790,25,-20.46,-66.83,68.29,6.13
69,Quang Ngai,100,VN,1609622790,88,15.12,108.8,64.38,5.95
70,Yulara,80,AU,1609622791,44,-25.24,130.99,77.0,19.46
71,Atuona,25,PF,1609622791,80,-9.8,-139.03,77.85,18.39
